dataset	Total	Case	Control	AUC	Accuracy	Sensitivity	Confusion_Matrix	Specificity	F1	set
Train	14005	6946	7059	0.9159928898408694	0.82927525883613	0.8363086668586237	"[[5805 1254]
 [1137 5809]]"	0.8223544411389715	0.8293240059961452	PGS_IMG
Validation	3485	1732	1753	0.8330837337247002	0.7604017216642754	0.7927251732101617	"[[1277  476]
 [ 359 1373]]"	0.728465487735311	0.7668249092432282	PGS_IMG
Test	4380	2172	2208	0.8354117248178397	0.7614155251141552	0.7785451197053407	"[[1644  564]
 [ 481 1691]]"	0.7445652173913043	0.7639484978540773	PGS_IMG
Train	14005	6946	7059	0.9159928898408694	0.82927525883613	0.8363086668586237	"[[5805 1254]
 [1137 5809]]"	0.8223544411389715	0.8293240059961452	DEM_IMG
Validation	3485	1732	1753	0.8330837337247002	0.7604017216642754	0.7927251732101617	"[[1277  476]
 [ 359 1373]]"	0.728465487735311	0.7668249092432282	DEM_IMG
Test	4380	2172	2208	0.8354117248178397	0.7614155251141552	0.7785451197053407	"[[1644  564]
 [ 481 1691]]"	0.7445652173913043	0.7639484978540773	DEM_IMG
Train	14005	6946	7059	0.8998162703097219	0.811781506604784	0.8220558594874748	"[[5659 1400]
 [1236 5710]]"	0.8016716248760448	0.8124644280022767	IMG
Validation	3485	1732	1753	0.811401668403489	0.7340028694404591	0.7603926096997691	"[[1241  512]
 [ 415 1317]]"	0.7079292641186538	0.7396798652064027	IMG
Test	4380	2172	2208	0.8246746720447328	0.7449771689497717	0.7748618784530387	"[[1580  628]
 [ 489 1683]]"	0.7155797101449275	0.7508364934195852	IMG
Train	14005	6946	7059	0.8998162703097219	0.811781506604784	0.8220558594874748	"[[5659 1400]
 [1236 5710]]"	0.8016716248760448	0.8124644280022767	DEM_IMG_PGS
Validation	3485	1732	1753	0.811401668403489	0.7340028694404591	0.7603926096997691	"[[1241  512]
 [ 415 1317]]"	0.7079292641186538	0.7396798652064027	DEM_IMG_PGS
Test	4380	2172	2208	0.8246746720447328	0.7449771689497717	0.7748618784530387	"[[1580  628]
 [ 489 1683]]"	0.7155797101449275	0.7508364934195852	DEM_IMG_PGS
